[2026-02-12T19:32:43.814+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4246, completion-tokens, 285, total-tokens, 4531, cost-ms, 8671, requestId, , temperature, 0
[2026-02-12T20:38:02.646+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4865, completion-tokens, 267, total-tokens, 5132, cost-ms, 5492, requestId, , temperature, 0
[2026-02-12T20:38:14.792+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5066, completion-tokens, 273, total-tokens, 5339, cost-ms, 10397, requestId, , temperature, 0
[2026-02-12T20:38:23.891+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5267, completion-tokens, 264, total-tokens, 5531, cost-ms, 7201, requestId, , temperature, 0
[2026-02-12T20:38:35.525+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5468, completion-tokens, 496, total-tokens, 5964, cost-ms, 9871, requestId, , temperature, 0
[2026-02-12T20:38:43.905+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5686, completion-tokens, 235, total-tokens, 5921, cost-ms, 6480, requestId, , temperature, 0
[2026-02-12T20:38:53.604+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5904, completion-tokens, 387, total-tokens, 6291, cost-ms, 7952, requestId, , temperature, 0
[2026-02-12T20:39:03.025+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6122, completion-tokens, 357, total-tokens, 6479, cost-ms, 7655, requestId, , temperature, 0
[2026-02-12T20:39:10.011+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6340, completion-tokens, 235, total-tokens, 6575, cost-ms, 5170, requestId, , temperature, 0
[2026-02-12T20:39:15.783+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6558, completion-tokens, 161, total-tokens, 6719, cost-ms, 3961, requestId, , temperature, 0
[2026-02-12T20:39:22.478+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6700, completion-tokens, 159, total-tokens, 6859, cost-ms, 4880, requestId, , temperature, 0
[2026-02-12T20:39:27.833+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4344, completion-tokens, 246, total-tokens, 4590, cost-ms, 5335, requestId, , temperature, 0
[2026-02-12T20:39:31.472+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4764, completion-tokens, 286, total-tokens, 5050, cost-ms, 7210, requestId, , temperature, 0
[2026-02-12T20:39:39.875+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5054, completion-tokens, 200, total-tokens, 5254, cost-ms, 6638, requestId, , temperature, 0
[2026-02-12T20:39:46.955+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5196, completion-tokens, 262, total-tokens, 5458, cost-ms, 5306, requestId, , temperature, 0
[2026-02-12T20:40:07.025+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5336, completion-tokens, 129, total-tokens, 5465, cost-ms, 18291, requestId, , temperature, 0
[2026-02-12T20:40:36.926+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4284, completion-tokens, 243, total-tokens, 4527, cost-ms, 7222, requestId, , temperature, 0
[2026-02-12T20:40:43.479+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4827, completion-tokens, 240, total-tokens, 5067, cost-ms, 4906, requestId, , temperature, 0
[2026-02-12T20:41:07.931+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4295, completion-tokens, 286, total-tokens, 4581, cost-ms, 7202, requestId, , temperature, 0
[2026-02-12T20:41:17.648+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4847, completion-tokens, 208, total-tokens, 5055, cost-ms, 6681, requestId, , temperature, 0
[2026-02-12T20:41:33.656+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4290, completion-tokens, 326, total-tokens, 4616, cost-ms, 6056, requestId, , temperature, 0
[2026-02-12T20:41:40.517+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4868, completion-tokens, 265, total-tokens, 5133, cost-ms, 5072, requestId, , temperature, 0
[2026-02-12T20:41:47.686+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5074, completion-tokens, 253, total-tokens, 5327, cost-ms, 5362, requestId, , temperature, 0
[2026-02-12T20:41:54.968+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5280, completion-tokens, 261, total-tokens, 5541, cost-ms, 5507, requestId, , temperature, 0
[2026-02-12T20:42:03.149+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5486, completion-tokens, 234, total-tokens, 5720, cost-ms, 6369, requestId, , temperature, 0
[2026-02-12T20:42:11.052+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5692, completion-tokens, 302, total-tokens, 5994, cost-ms, 6113, requestId, , temperature, 0
[2026-02-12T20:42:20.863+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5898, completion-tokens, 279, total-tokens, 6177, cost-ms, 8024, requestId, , temperature, 0
[2026-02-12T20:42:28.712+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6104, completion-tokens, 293, total-tokens, 6397, cost-ms, 6065, requestId, , temperature, 0
[2026-02-12T20:42:38.375+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4245, completion-tokens, 195, total-tokens, 4440, cost-ms, 4274, requestId, , temperature, 0
[2026-02-12T20:42:45.951+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4773, completion-tokens, 250, total-tokens, 5023, cost-ms, 5957, requestId, , temperature, 0
[2026-02-12T20:43:00.288+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6310, completion-tokens, 286, total-tokens, 6596, cost-ms, 29793, requestId, , temperature, 0
[2026-02-12T20:43:01.732+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4285, completion-tokens, 222, total-tokens, 4507, cost-ms, 5002, requestId, , temperature, 0
[2026-02-12T20:43:10.427+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5042, completion-tokens, 232, total-tokens, 5274, cost-ms, 7060, requestId, , temperature, 0
[2026-02-12T20:43:13.193+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4994, completion-tokens, 227, total-tokens, 5221, cost-ms, 11070, requestId, , temperature, 0
[2026-02-12T20:43:18.314+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5374, completion-tokens, 119, total-tokens, 5493, cost-ms, 3322, requestId, , temperature, 0
[2026-02-12T20:43:23.125+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5494, completion-tokens, 138, total-tokens, 5632, cost-ms, 3192, requestId, , temperature, 0
[2026-02-12T20:43:27.528+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5614, completion-tokens, 119, total-tokens, 5733, cost-ms, 2762, requestId, , temperature, 0
[2026-02-12T20:43:35.314+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4669, completion-tokens, 270, total-tokens, 4939, cost-ms, 5978, requestId, , temperature, 0
[2026-02-12T20:43:35.358+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4290, completion-tokens, 282, total-tokens, 4572, cost-ms, 6192, requestId, , temperature, 0
[2026-02-12T20:43:41.250+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5017, completion-tokens, 214, total-tokens, 5231, cost-ms, 4303, requestId, , temperature, 0
[2026-02-12T20:43:42.376+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5084, completion-tokens, 150, total-tokens, 5234, cost-ms, 5202, requestId, , temperature, 0
[2026-02-12T20:43:46.372+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5402, completion-tokens, 150, total-tokens, 5552, cost-ms, 3303, requestId, , temperature, 0
[2026-02-12T20:43:47.680+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5469, completion-tokens, 150, total-tokens, 5619, cost-ms, 3453, requestId, , temperature, 0
[2026-02-12T20:43:51.642+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5699, completion-tokens, 150, total-tokens, 5849, cost-ms, 3471, requestId, , temperature, 0
[2026-02-12T20:43:53.562+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5759, completion-tokens, 150, total-tokens, 5909, cost-ms, 4052, requestId, , temperature, 0
[2026-02-12T20:43:57.125+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5897, completion-tokens, 150, total-tokens, 6047, cost-ms, 3645, requestId, , temperature, 0
[2026-02-12T20:43:59.028+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6049, completion-tokens, 150, total-tokens, 6199, cost-ms, 3613, requestId, , temperature, 0
[2026-02-12T20:44:04.188+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6339, completion-tokens, 150, total-tokens, 6489, cost-ms, 3319, requestId, , temperature, 0
[2026-02-12T20:44:05.624+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6187, completion-tokens, 150, total-tokens, 6337, cost-ms, 6655, requestId, , temperature, 0
[2026-02-12T20:44:10.843+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6576, completion-tokens, 150, total-tokens, 6726, cost-ms, 4821, requestId, , temperature, 0
[2026-02-12T20:44:11.021+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6622, completion-tokens, 150, total-tokens, 6772, cost-ms, 3567, requestId, , temperature, 0
[2026-02-12T20:44:16.066+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6943, completion-tokens, 150, total-tokens, 7093, cost-ms, 3249, requestId, , temperature, 0
[2026-02-12T20:44:16.679+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6890, completion-tokens, 150, total-tokens, 7040, cost-ms, 3968, requestId, , temperature, 0
[2026-02-12T20:44:21.698+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 7204, completion-tokens, 150, total-tokens, 7354, cost-ms, 3794, requestId, , temperature, 0
[2026-02-12T20:44:26.921+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 7349, completion-tokens, 150, total-tokens, 7499, cost-ms, 3412, requestId, , temperature, 0
[2026-02-12T20:44:32.450+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 7494, completion-tokens, 150, total-tokens, 7644, cost-ms, 3688, requestId, , temperature, 0
[2026-02-12T20:44:38.493+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 7639, completion-tokens, 150, total-tokens, 7789, cost-ms, 4194, requestId, , temperature, 0
[2026-02-12T20:44:43.763+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 7784, completion-tokens, 150, total-tokens, 7934, cost-ms, 3290, requestId, , temperature, 0
[2026-02-12T20:44:50.679+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4283, completion-tokens, 233, total-tokens, 4516, cost-ms, 5256, requestId, , temperature, 0
[2026-02-12T20:44:52.420+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4715, completion-tokens, 253, total-tokens, 4968, cost-ms, 6494, requestId, , temperature, 0
[2026-02-12T20:44:59.792+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5022, completion-tokens, 285, total-tokens, 5307, cost-ms, 6893, requestId, , temperature, 0
[2026-02-12T20:45:00.886+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5075, completion-tokens, 301, total-tokens, 5376, cost-ms, 6809, requestId, , temperature, 0
[2026-02-12T20:45:06.243+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5409, completion-tokens, 191, total-tokens, 5600, cost-ms, 4298, requestId, , temperature, 0
[2026-02-12T20:45:07.573+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5469, completion-tokens, 201, total-tokens, 5670, cost-ms, 4859, requestId, , temperature, 0
[2026-02-12T20:45:13.412+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5857, completion-tokens, 184, total-tokens, 6041, cost-ms, 4131, requestId, , temperature, 0
[2026-02-12T20:45:14.435+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5797, completion-tokens, 176, total-tokens, 5973, cost-ms, 6084, requestId, , temperature, 0
[2026-02-12T20:45:19.246+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6186, completion-tokens, 184, total-tokens, 6370, cost-ms, 4162, requestId, , temperature, 0
[2026-02-12T20:45:20.915+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6246, completion-tokens, 184, total-tokens, 6430, cost-ms, 4424, requestId, , temperature, 0
[2026-02-12T20:45:24.879+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6423, completion-tokens, 184, total-tokens, 6607, cost-ms, 3968, requestId, , temperature, 0
[2026-02-12T20:45:27.746+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6600, completion-tokens, 184, total-tokens, 6784, cost-ms, 5190, requestId, , temperature, 0
[2026-02-12T20:45:30.818+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6777, completion-tokens, 184, total-tokens, 6961, cost-ms, 4262, requestId, , temperature, 0
[2026-02-12T20:45:34.506+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6954, completion-tokens, 184, total-tokens, 7138, cost-ms, 5105, requestId, , temperature, 0
[2026-02-12T20:45:36.860+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 7131, completion-tokens, 184, total-tokens, 7315, cost-ms, 4392, requestId, , temperature, 0
[2026-02-12T20:45:39.217+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 7308, completion-tokens, 118, total-tokens, 7426, cost-ms, 3051, requestId, , temperature, 0
[2026-02-12T20:45:47.409+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 7567, completion-tokens, 118, total-tokens, 7685, cost-ms, 6543, requestId, , temperature, 0
[2026-02-12T20:45:52.425+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 7678, completion-tokens, 118, total-tokens, 7796, cost-ms, 3316, requestId, , temperature, 0
[2026-02-12T20:45:58.333+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 7789, completion-tokens, 118, total-tokens, 7907, cost-ms, 4250, requestId, , temperature, 0
[2026-02-12T20:46:04.304+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 7900, completion-tokens, 118, total-tokens, 8018, cost-ms, 4315, requestId, , temperature, 0
[2026-02-12T20:46:09.629+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 8011, completion-tokens, 118, total-tokens, 8129, cost-ms, 3653, requestId, , temperature, 0
[2026-02-12T20:46:15.558+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 8122, completion-tokens, 118, total-tokens, 8240, cost-ms, 4255, requestId, , temperature, 0
[2026-02-12T20:46:23.864+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 8233, completion-tokens, 118, total-tokens, 8351, cost-ms, 6621, requestId, , temperature, 0
[2026-02-12T20:46:29.291+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 8344, completion-tokens, 118, total-tokens, 8462, cost-ms, 3736, requestId, , temperature, 0
[2026-02-12T20:46:34.615+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 8455, completion-tokens, 118, total-tokens, 8573, cost-ms, 3637, requestId, , temperature, 0
[2026-02-12T20:48:32.976+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4244, completion-tokens, 192, total-tokens, 4436, cost-ms, 4512, requestId, , temperature, 0
[2026-02-12T20:48:40.465+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4771, completion-tokens, 263, total-tokens, 5034, cost-ms, 5699, requestId, , temperature, 0
[2026-02-12T20:49:15.010+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4271, completion-tokens, 190, total-tokens, 4461, cost-ms, 3636, requestId, , temperature, 0
[2026-02-12T20:49:21.154+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4780, completion-tokens, 160, total-tokens, 4940, cost-ms, 4347, requestId, , temperature, 0
[2026-02-12T20:51:45.073+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5747, completion-tokens, 564, total-tokens, 6311, cost-ms, 308775, requestId, , temperature, 0
[2026-02-12T20:51:46.936+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4284, completion-tokens, 223, total-tokens, 4507, cost-ms, 5141, requestId, , temperature, 0
[2026-02-12T20:51:52.980+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4889, completion-tokens, 238, total-tokens, 5127, cost-ms, 4051, requestId, , temperature, 0
[2026-02-12T20:52:01.580+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5064, completion-tokens, 201, total-tokens, 5265, cost-ms, 6703, requestId, , temperature, 0
[2026-02-12T20:52:06.803+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5194, completion-tokens, 116, total-tokens, 5310, cost-ms, 3392, requestId, , temperature, 0
[2026-02-12T20:52:11.515+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5323, completion-tokens, 116, total-tokens, 5439, cost-ms, 2850, requestId, , temperature, 0
[2026-02-12T20:52:16.840+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5452, completion-tokens, 194, total-tokens, 5646, cost-ms, 3463, requestId, , temperature, 0
[2026-02-12T20:52:23.598+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5581, completion-tokens, 247, total-tokens, 5828, cost-ms, 4896, requestId, , temperature, 0
[2026-02-12T20:52:30.765+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5710, completion-tokens, 222, total-tokens, 5932, cost-ms, 5296, requestId, , temperature, 0
[2026-02-12T20:52:37.010+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5839, completion-tokens, 220, total-tokens, 6059, cost-ms, 4381, requestId, , temperature, 0
[2026-02-12T20:52:45.819+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 5968, completion-tokens, 223, total-tokens, 6191, cost-ms, 6934, requestId, , temperature, 0
[2026-02-12T20:52:53.088+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 6097, completion-tokens, 207, total-tokens, 6304, cost-ms, 5394, requestId, , temperature, 0
[2026-02-12T20:52:54.319+08:00] model, glm-4.6v, mode, glm-v, ui-tars-version, undefined, prompt-tokens, 4244, completion-tokens, 215, total-tokens, 4459, cost-ms, 4967, requestId, , temperature, 0
[2026-02-12T21:13:05.829+08:00] model, doubao-seed-1-6-vision-250815, mode, doubao-vision, ui-tars-version, undefined, prompt-tokens, 4607, completion-tokens, 223, total-tokens, 4830, cost-ms, 5765, requestId, 0217709019803113683317075330b6cc9f64af0089ac7f9e430dd, temperature, 0
[2026-02-12T21:13:32.764+08:00] model, doubao-seed-1-6-vision-250815, mode, doubao-vision, ui-tars-version, undefined, prompt-tokens, 5120, completion-tokens, 1247, total-tokens, 6367, cost-ms, 25017, requestId, 0217709019878403683317075330b6cc9f64af0089ac7f935ad67, temperature, 0
[2026-02-12T21:13:42.417+08:00] model, doubao-seed-1-6-vision-250815, mode, doubao-vision, ui-tars-version, undefined, prompt-tokens, 4598, completion-tokens, 117, total-tokens, 4715, cost-ms, 3360, requestId, 0217709020192387567f706121169fe4c693c57ce45241cf8fbf9, temperature, 0
[2026-02-12T21:13:52.827+08:00] model, doubao-seed-1-6-vision-250815, mode, doubao-vision, ui-tars-version, undefined, prompt-tokens, 5075, completion-tokens, 373, total-tokens, 5448, cost-ms, 8080, requestId, 0217709020248707567f706121169fe4c693c57ce45241ca68683, temperature, 0
[2026-02-12T21:14:15.579+08:00] model, doubao-seed-1-6-vision-250815, mode, doubao-vision, ui-tars-version, undefined, prompt-tokens, 4658, completion-tokens, 477, total-tokens, 5135, cost-ms, 10386, requestId, 0217709020453831f1f9d73d520aa3bc1200a589efeea957b67a2, temperature, 0
[2026-02-12T21:14:35.732+08:00] model, doubao-seed-1-6-vision-250815, mode, doubao-vision, ui-tars-version, undefined, prompt-tokens, 5201, completion-tokens, 707, total-tokens, 5908, cost-ms, 15206, requestId, 021770902060685c4dc4b915535437ad03877d2dfc54a0319da8a, temperature, 0
[2026-02-12T21:14:54.874+08:00] model, doubao-seed-1-6-vision-250815, mode, doubao-vision, ui-tars-version, undefined, prompt-tokens, 5382, completion-tokens, 689, total-tokens, 6071, cost-ms, 14235, requestId, 021770902080785c4dc4b915535437ad03877d2dfc54a03eae60f, temperature, 0
[2026-02-12T21:15:11.931+08:00] model, doubao-seed-1-6-vision-250815, mode, doubao-vision, ui-tars-version, undefined, prompt-tokens, 5563, completion-tokens, 608, total-tokens, 6171, cost-ms, 12070, requestId, 021770902100005e542ae8f7c04736102ead861a601340c9290a0, temperature, 0
[2026-02-12T21:15:15.551+08:00] model, doubao-seed-1-6-vision-250815, mode, doubao-vision, ui-tars-version, undefined, prompt-tokens, 4603, completion-tokens, 174, total-tokens, 4777, cost-ms, 3949, requestId, 0217709021117507d66892265258d8a5511543a67713e2fdfdd45, temperature, 0
[2026-02-12T21:15:20.574+08:00] model, doubao-seed-1-6-vision-250815, mode, doubao-vision, ui-tars-version, undefined, prompt-tokens, 5305, completion-tokens, 95, total-tokens, 5400, cost-ms, 2919, requestId, 0217709021177547d66892265258d8a5511543a67713e2f55a48c, temperature, 0
[2026-02-12T21:15:23.683+08:00] model, doubao-seed-1-6-vision-250815, mode, doubao-vision, ui-tars-version, undefined, prompt-tokens, 5241, completion-tokens, 339, total-tokens, 5580, cost-ms, 6837, requestId, 021770902116986a9c6544091777d16bd21be5aab8209d33c0c3b, temperature, 0
[2026-02-12T21:15:35.074+08:00] model, doubao-seed-1-6-vision-250815, mode, doubao-vision, ui-tars-version, undefined, prompt-tokens, 4613, completion-tokens, 207, total-tokens, 4820, cost-ms, 4741, requestId, 021770902130470a6db7c4bed50e9a6177d0c44cfd89dd15070fe, temperature, 0
[2026-02-12T21:15:35.107+08:00] model, doubao-seed-1-6-vision-250815, mode, doubao-vision, ui-tars-version, undefined, prompt-tokens, 5560, completion-tokens, 362, total-tokens, 5922, cost-ms, 7436, requestId, 021770902127762a9c6544091777d16bd21be5aab8209d320401f, temperature, 0
[2026-02-12T21:15:41.218+08:00] model, doubao-seed-1-6-vision-250815, mode, doubao-vision, ui-tars-version, undefined, prompt-tokens, 5308, completion-tokens, 207, total-tokens, 5515, cost-ms, 4393, requestId, 021770902136916a9c6544091777d16bd21be5aab8209d3818738, temperature, 0
[2026-02-12T21:15:44.090+08:00] model, doubao-seed-1-6-vision-250815, mode, doubao-vision, ui-tars-version, undefined, prompt-tokens, 5376, completion-tokens, 203, total-tokens, 5579, cost-ms, 5056, requestId, 021770902139127a6db7c4bed50e9a6177d0c44cfd89dd1ca3b19, temperature, 0
[2026-02-12T21:15:49.297+08:00] model, doubao-seed-1-6-vision-250815, mode, doubao-vision, ui-tars-version, undefined, prompt-tokens, 5731, completion-tokens, 189, total-tokens, 5920, cost-ms, 4088, requestId, 021770902145300a9c6544091777d16bd21be5aab8209d36c4ef7, temperature, 0
[2026-02-12T21:15:53.580+08:00] model, doubao-seed-1-6-vision-250815, mode, doubao-vision, ui-tars-version, undefined, prompt-tokens, 5799, completion-tokens, 265, total-tokens, 6064, cost-ms, 5534, requestId, 021770902148136a6db7c4bed50e9a6177d0c44cfd89dd1383963, temperature, 0
[2026-02-12T21:15:55.780+08:00] model, doubao-seed-1-6-vision-250815, mode, doubao-vision, ui-tars-version, undefined, prompt-tokens, 5972, completion-tokens, 214, total-tokens, 6186, cost-ms, 4725, requestId, 021770902151146a9c6544091777d16bd21be5aab8209d33c7197, temperature, 0
[2026-02-12T21:16:02.087+08:00] model, doubao-seed-1-6-vision-250815, mode, doubao-vision, ui-tars-version, undefined, prompt-tokens, 6302, completion-tokens, 200, total-tokens, 6502, cost-ms, 4516, requestId, 021770902157662a9c6544091777d16bd21be5aab8209d343965f, temperature, 0
[2026-02-12T21:16:03.049+08:00] model, doubao-seed-1-6-vision-250815, mode, doubao-vision, ui-tars-version, undefined, prompt-tokens, 6370, completion-tokens, 249, total-tokens, 6619, cost-ms, 5442, requestId, 021770902157697a6db7c4bed50e9a6177d0c44cfd89dd1ec8b9a, temperature, 0
[2026-02-12T21:16:07.542+08:00] model, doubao-seed-1-6-vision-250815, mode, doubao-vision, ui-tars-version, undefined, prompt-tokens, 6701, completion-tokens, 174, total-tokens, 6875, cost-ms, 3682, requestId, 021770902163953a9c6544091777d16bd21be5aab8209d3d2cf95, temperature, 0
[2026-02-12T21:16:12.202+08:00] model, doubao-seed-1-6-vision-250815, mode, doubao-vision, ui-tars-version, undefined, prompt-tokens, 6769, completion-tokens, 222, total-tokens, 6991, cost-ms, 5205, requestId, 021770902167087a6db7c4bed50e9a6177d0c44cfd89dd1540922, temperature, 0
[2026-02-12T21:16:15.157+08:00] model, doubao-seed-1-6-vision-250815, mode, doubao-vision, ui-tars-version, undefined, prompt-tokens, 6942, completion-tokens, 240, total-tokens, 7182, cost-ms, 5848, requestId, 021770902169400a9c6544091777d16bd21be5aab8209d3a4e1e9, temperature, 0
[2026-02-12T21:16:21.525+08:00] model, doubao-seed-1-6-vision-250815, mode, doubao-vision, ui-tars-version, undefined, prompt-tokens, 7339, completion-tokens, 200, total-tokens, 7539, cost-ms, 4610, requestId, 021770902177059e3635b40b8ce1c312b8487146505751da0a218, temperature, 0
